Epoch 27, Batch 400, Control Accuracy: 0.690, Test Accuracy: 0.000, Control Loss: 168.049, Test Loss: 126.307
Epoch 27, Batch 500, Control Accuracy: 0.660, Test Accuracy: 0.000, Control Loss: 165.350, Test Loss: 126.105
Epoch 27, Batch 600, Control Accuracy: 0.660, Test Accuracy: 0.000, Control Loss: 169.270, Test Loss: 129.321
Epoch 27, Batch 700, Control Accuracy: 0.730, Test Accuracy: 0.000, Control Loss: 171.276, Test Loss: 128.456
Epoch 27, Batch 800, Control Accuracy: 0.710, Test Accuracy: 0.000, Control Loss: 168.498, Test Loss: 126.756
Epoch 28, Batch 100, Control Accuracy: 0.780, Test Accuracy: 0.000, Control Loss: 169.469, Test Loss: 131.699
Epoch 28, Batch 200, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 164.914, Test Loss: 125.654
Epoch 28, Batch 300, Control Accuracy: 0.820, Test Accuracy: 0.010, Control Loss: 167.931, Test Loss: 123.240
Epoch 28, Batch 400, Control Accuracy: 0.660, Test Accuracy: 0.000, Control Loss: 165.159, Test Loss: 129.657
Epoch 28, Batch 500, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 164.922, Test Loss: 131.062
Epoch 28, Batch 600, Control Accuracy: 0.790, Test Accuracy: 0.000, Control Loss: 162.859, Test Loss: 128.179
Epoch 28, Batch 700, Control Accuracy: 0.850, Test Accuracy: 0.000, Control Loss: 168.505, Test Loss: 124.576
Epoch 28, Batch 800, Control Accuracy: 0.690, Test Accuracy: 0.000, Control Loss: 169.643, Test Loss: 126.590
Epoch 29, Batch 100, Control Accuracy: 0.800, Test Accuracy: 0.010, Control Loss: 168.454, Test Loss: 123.368
Epoch 29, Batch 200, Control Accuracy: 0.620, Test Accuracy: 0.010, Control Loss: 164.764, Test Loss: 127.421
Epoch 29, Batch 300, Control Accuracy: 0.570, Test Accuracy: 0.320, Control Loss: 161.931, Test Loss: 131.511
Epoch 29, Batch 400, Control Accuracy: 0.610, Test Accuracy: 0.160, Control Loss: 163.157, Test Loss: 130.024
Epoch 29, Batch 500, Control Accuracy: 0.670, Test Accuracy: 0.690, Control Loss: 162.430, Test Loss: 126.471
